sex	group	center_time_sec	sum_corner_time_sec	min_one_corner_time_sec	max_one_corner_time_sec	average_corner_time_sec	open_arms_time_sec	close_arms_time_sec	overall_track_length	center_path_sm	sum_corner_path_sm	min_one_corner_path_sm	max_one_corner_path_sm	average_corner_path_sm	_open_arms_path_sm	close_arms_path_sm	overall_velocity_cms	center_velocity_cms	max_corner_velocity_cms	min_corner_velocity_cms	average_corner_velocity_cms	average_open_arms_velosity_sms	average_close_arms_velocity_sms	overall_activity	center_activity	min_one_corner_activity	max_one_corner_activity	open_arms	close_arms
female	pre-stress	32.3	280.5	22.8	125.7	70.1	49.8	225	547	90.8	456.2	28.9	204.6	114.1	70.9	385.3	1.7	2.8	2.1	1.3	1.5	1.3	1.8	37.7	56.2	30.9	40.8	37.2	35.9
female	pre-stress	47.5	260.7	21.5	112.1	65.2	57.8	202.9	725.4	151.5	573.8	40.8	243.4	143.5	109	464.8	2.4	3.2	2.4	1.9	2.1	1.9	2.3	43	65.1	34.1	49.3	45.8	37.6
female	pre-stress	40.1	289.1	36.3	114.8	72.3	89.1	200	644.4	109.6	534.8	66.9	215.7	133.7	164.1	370.7	2	2.7	1.9	1.8	1.8	1.8	1.9	39	49.8	33.9	43.5	42.2	35.4
female	pre-stress	43.6	265.3	18.9	118.8	66.3	58.5	206.8	581.7	111.2	470.5	35.2	188	117.6	105.6	364.9	1.9	2.5	2	1.6	1.8	1.9	1.8	38.8	53.2	32.1	48.2	45.2	34.6
female	pre-stress	31.2	286	22.4	140.3	71.5	55.4	230.6	710.3	99.5	610.7	39.4	278.6	152.7	109.1	501.6	2.2	3.2	2.5	1.8	2.1	2	2.3	45.3	60.2	39	51.2	46.6	43.9
male	pre-stress	41.3	258.7	12.3	156.1	64.7	14.1	230.5	744	154	590	32.4	289.5	147.5	81.2	508.9	2.1	3.7	3.1	1.7	1.8	2.9	2.9	40.7	56.4	28.6	51.5	36.8	37.5
male	pre-stress	51.4	265.1	42	118.3	66.3	102.2	161	779	146.5	632.8	120	230.9	158.2	263.6	369	2.5	2.8	3.2	2	2.6	2.6	2.6	38.4	41.8	32	52.9	38.2	42.5
male	pre-stress	38.7	265	22.6	126.9	66.25	73.9	191.1	746.9	129	617.9	64.1	295.1	154.5	166.5	451.4	2.5	3.3	2.8	2	2.4	2.4	2.4	41.2	54.1	35.4	42.5	37.3	40.9
female	post-stress	18.8	284.9	15.1	161.6	71.2	33.8	251.1	718.4	96.4	621.4	42.2	268.1	155.4	130.6	490.8	2.4	5.1	4.7	1.7	2.9	3.8	2.1	38.2	62.1	30.6	60.5	49.4	36.4
female	post-stress	29.9	281	14.8	171.4	70.3	32.1	248.6	1098.5	160.9	937.6	66	491.6	234.4	138.9	797.4	3.5	5.4	4.9	2.9	3.9	4.4	3.4	48.2	66.2	42.3	55.5	53.4	47.4
female	post-stress	23.7	292	5.8	137.8	73	19.7	272	955.7	148.2	806.9	14.4	394.4	201.7	60.9	746	3	6.2	3.3	2.5	2.8	2.9	2.8	43.9	67.6	34.8	49.4	42.1	42.1
female	post-stress	20	282.6	10.3	133.7	70.7	21.8	260.8	795.2	109.7	685.5	14.4	346.3	171.4	43.8	641.3	2.6	5.5	2.6	1.4	2.2	2	2.5	40.6	61.7	25.4	42.5	33	39.6
female	post-stress	8.7	293.9	4	197.6	73.5	11.4	282.5	374.9	42.4	332.5	15.7	166.7	83.1	40.2	292.3	1.2	4.8	3.9	0.8	2.4	3.6	1.2	21.6	55.5	16.2	57.1	47.3	21.9
male	post-stress	8.8	295.5	4.4	267.2	73.9	12.8	283.1	176.8	19.3	157.5	3.6	103.8	39.4	10.1	147.3	0.6	2.2	2.7	0.4	1.2	0.8	1.6	12.3	42.5	8.6	52.9	18.6	30.8
male	post-stress	15.7	290.2	12.4	146.2	72.5	32.5	257.7	687.5	65.9	621.6	35.8	304.5	155.4	91.2	530.5	2.2	4.2	2.9	2	2.4	2.8	2	39.1	62.2	35.6	44.9	44.4	36.9
male	post-stress	20.6	273.7	6.7	229.8	68.4	17.5	256.2	498.7	71.8	426.9	15.8	300	106.7	20.5	386	1.7	3.5	3.3	1.3	2.3	2.4	2.3	30.1	60.7	24	52.4	41.8	38.2
