sex	group	experiment duration	center time	sum corner time	min one corner time	max one corner time	average corner time	open_arms time	close_arms time	overall track length	center path	sum corner path	min one corner path	max one corner path	average corner path	 open_arms path	close_arms path	overall velocity	center velocity	max corner velocity	min corner velocity	average corner velocity	average open_arms velosity	average close_arms velocity	overall activity	center activity	min one corner activity	max one corner activity	open_arms	close_arms
male	pre-stress	300	56.6	281.1	18.2	133.5	70.3	39.8	241.3	1350.9	210.7	1140.2	48.8	501.9	285.1	104.1	999.7	4	3.7	4.7	2.6	3.4	2.7	4.2	48.6	51.1	45.2	50.4	46.8	48.6
male	pre-stress	300	30.9	279.2	21	137.4	69.8	47.5	231.6	1583.8	173.3	1209.1	70	693.2	302.3	146.1	1063	5.1	5.7	5.1	2.9	3.8	3.1	4.5	49.8	68.5	44.7	55.8	52.7	47.5
male	pre-stress	300	49.4	273.4	34.2	103.5	68.4	72	201.4	1640.4	254.4	1386	128.9	609.4	346.5	258.2	1127.4	5.1	5.1	6.2	3.4	4.6	3.6	5.6	58.5	66.8	52.2	59.7	55.7	57.8
female	pre-stress	300	44.1	255.9	37.8	128.4	64	84.4	185.7	907.3	165.4	741.9	80.4	361.4	185.5	185.5	556.5	2.9	3.8	3.4	1.6	2.7	2.2	3.1	43.2	51.6	43.4	48.5	36.3	45.9
female	pre-stress	300	46.1	253.9	43.8	97.2	63.5	88.8	175.6	1222.7	235.4	987.3	141.5	373.8	246.8	294	693.3	3.9	5.1	3.8	3.2	3.6	3.3	4	46.9	57.4	42.5	47.8	43.6	46
male	pre-stress	300	46.4	253.6	21	102.1	63.4	66.8	196.6	1073.4	165.4	908	78.8	422.5	227	182.8	725.2	3.5	3.6	4.5	2.3	3.4	3	3.8	44.4	42.6	37.7	54.1	40.1	46.9
male	pre-stress	300	32.6	267.4	7.6	198.1	66.9	20.6	275.8	801.7	117.6	684.1	24.7	365.7	171	56.5	627.6	2.4	3.6	3.4	1.8	2.7	2.8	2.6	37.3	47.4	28.9	54	47.8	40.5
female	pre-stress		50.2	252.4	43.8	73.7	63.1	117.5	134.9	871.5	154.9	716.6	85.1	249.7	179.15	251	465.6	2.9	3.1	3.5	1.9	2.75	2.05	3.45	43.1	44.7	34.4	51.1	35.45	48.85
female	pre-stress		22.7	301.7	45.7	137.5	75.425	104.6	197.1	558.5	65	493.5	103.7	151.8	123.375	233.3	260.2	1.7	2.9	2.3	1.8	1.85	2.25	1.45	30.3	45.5	19.7	41.2	25.55	40.4
male	post-stress	300	4.3	297.1	2	242.9	74.3	11	285	1076.2	41.7	1034.5	2.1	842.5	258.6	38.7	995.8	3.4	5	4.1	1	2.8	2.6	3.1	30.7	66.5	26.8	58	45.9	32.2
male	post-stress	300	9.7	290.3	12.9	172.3	72.6	28.1	242.2	885	87.4	797.6	41	403.8	199.4	101.7	695.8	2.9	5.4	4	2.3	3.2	3.6	2.8	39.3	68.5	33.3	56.4	53.7	37.2
male	post-stress	300	3.2	297.2	9.6	204.4	74.3	26.4	270.8	594.3	74.4	519.9	14.9	299.3	130	52.8	467.1	1.9	3.9	2.5	1.5	1.9	1.9	2	33.9	57.2	27.7	45.3	35.1	36.5
female	post-stress	300	18.7	308.6	1.1	167.7	77.15	15	293.6	731.3	81	650.3	1.1	322.9	162.6	42.5	607.8	2.2	4.3	3	0.9	2	2	2	33.5	53.5	22.7	45.3	34	32.1
female	post-stress	300	24	296.4	11.6	140.7	74.1	25.6	270.8	834.3	96.2	738.2	38.1	331.4	184.6	82.6	655.6	2.6	4	3.3	2.3	2.8	3.3	2.4	36.8	45	34.6	50	50	35
female	post-stress	300	24.2	292.8	2	167.6	73.2	9.5	283.3	905.1	100.9	804.2	1.6	401.3	201.1	12.7	791.5	2.9	4.2	3.4	0.8	2	1.2	2.9	37.2	49.8	18.4	43	24.5	37.4
female	post-stress		43.6	243.4	0	214.1	60.85	235.1	8.3	393.6	89	250.6	0	212.3	62.65	279.7	24.9	1.4	2	3.2	0	1.8	2.1	1.5	22.1	33.6	0	59.6	30.2	29.8
female	pre-stress	300	30.3	283	53.1	103.1	70.8	115.6	177.4	1339.3	173.6	1165.7	186.4	390.8	291.4	389.9	775.8	4.1	5.7	5.3	3.3	4	3.4	4.5	46.1	66.8	37.5	53.7	41	47.2
female	pre-stress	300	31.2	290.8	33.6	128.4	72.7	123.1	167.7	1035.7	146.4	889.3	104.2	381.2	222.3	270.8	618.5	3.2	4.7	6	1.9	3.5	2.5	4.5	38.9	60.4	28.9	56.6	36	45.3
male	pre-stress	300	30.8	269.2	23.2	111.3	67.3	46.7	222.6	1015.9	129.2	973.1	58.7	471.3	243.3	145.1	741.7	3	4.2	3.7	2.5	3	3.1	3	38.1	56.2	34.2	51.5	44.9	35
